Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
1.41,Very Good,H,SI1,EX,VG,GIA,8463
1.54,Very Good,I,SI1,VG,VG,GIA,8811
1.05,Very Good,H,SI1,VG,VG,GIA,5095
2.58,Ideal,F,VS2,EX,EX,GIA,39821
1.0,Very Good,F,VS1,EX,VG,GIA,7710
2.5,Ideal,F,SI1,VG,VG,GIA,30583
1.01,Very Good,E,SI1,VG,VG,GIA,5411
1.28,Ideal,G,VVS2,VG,EX,GIA,10635
1.04,Very Good,D,SI1,G,G,GIA,5951
2.19,Very Good,G,VS1,VG,VG,GIA,29065
1.52,Very Good,D,VS1,VG,EX,GIA,17558
0.79,Very Good,I,VS1,EX,EX,GIA,2727
0.79,Very Good,H,VS1,EX,VG,GIA,2756
1.0,Very Good,F,VS2,G,G,GIA,6619
2.03,Ideal,D,VS1,EX,EX,GIA,41532
0.9,Very Good,D,SI1,VG,VG,GIA,4466
1.0,Good,F,VS2,VG,VG,GIA,6457
2.04,Ideal,F,SI1,EX,EX,GIA,21516
1.23,Ideal,G,VS1,EX,EX,GIA,9863
2.21,Very Good,I,SI1,VG,VG,GIA,17784
1.15,Signature-Ideal,E,VS2,ID,ID,AGSL,9967
2.01,Ideal,F,VS2,VG,VG,GIA,29386
2.02,Very Good,F,SI1,VG,G,GIA,16759
1.07,Ideal,H,VVS1,ID,ID,AGSL,7273
2.14,Ideal,D,VS2,EX,VG,GIA,29808
1.69,Very Good,I,SI1,VG,VG,GIA,10497
2.01,Very Good,E,VS1,EX,EX,GIA,30794
2.01,Good,H,SI1,EX,VG,GIA,15467
0.81,Very Good,F,VS1,G,G,GIA,3726
0.75,Very Good,E,SI1,VG,VG,GIA,2923
0.9,Good,E,SI1,G,VG,GIA,4283
1.06,Very Good,H,SI1,VG,EX,GIA,5048
2.14,Ideal,I,SI1,ID,ID,AGSL,17946
0.91,Very Good,D,SI1,G,VG,GIA,4389
1.19,Ideal,G,SI1,VG,VG,GIA,6335
0.79,Ideal,E,VS2,G,VG,GIA,3203
1.06,Ideal,G,VVS1,VG,VG,GIA,8712
2.02,Good,I,SI1,VG,G,GIA,13286
0.9,Very Good,I,VS2,EX,G,GIA,3720
2.01,Good,I,VS2,VG,VG,GIA,17497
1.19,Ideal,F,VVS1,VG,EX,GIA,10302
2.05,Good,G,VS2,VG,VG,GIA,24390
1.3,Ideal,F,VVS1,EX,EX,GIA,13937
1.01,Very Good,E,IF,VG,VG,GIA,11291
1.09,Ideal,F,IF,VG,EX,GIA,11998
1.24,Very Good,I,VS1,G,G,GIA,6754
0.91,Ideal,D,SI1,VG,VG,GIA,4566
1.16,Ideal,G,IF,EX,EX,GIA,10368
1.14,Ideal,G,VVS2,ID,ID,AGSL,9013
2.02,Ideal,G,VS2,EX,VG,GIA,25183
1.61,Very Good,I,SI1,EX,EX,AGSL,9220
2.01,Ideal,H,VS2,VG,EX,GIA,21629
1.01,Very Good,F,SI1,VG,VG,GIA,5284
2.0,Very Good,F,VVS1,EX,EX,GIA,41804
0.91,Very Good,G,VVS2,VG,VG,GIA,5424
1.14,Ideal,I,SI1,EX,VG,GIA,5096
2.09,Ideal,G,SI1,ID,ID,AGSL,21273
2.17,Ideal,D,VS1,VG,G,GIA,40868
1.26,Very Good,I,VS1,G,G,GIA,6855
1.0,Good,I,SI1,EX,VG,GIA,4042
1.0,Good,E,SI1,VG,G,GIA,5597
1.05,Ideal,G,SI1,EX,EX,GIA,5591
0.9,Good,I,VS1,G,VG,GIA,3677
1.69,Very Good,D,SI1,G,G,GIA,13446
2.01,Fair,F,VVS2,G,G,GIA,29368
0.75,Ideal,D,VS1,EX,VG,GIA,4007
1.08,Good,F,SI1,EX,EX,AGSL,5764
1.28,Good,H,SI1,EX,G,GIA,6552
1.02,Very Good,F,VVS1,EX,EX,GIA,8990
1.7,Very Good,H,VS1,EX,VG,GIA,14130
1.01,Ideal,E,VVS2,EX,EX,GIA,10230
2.01,Ideal,G,VS2,EX,VG,GIA,24284
1.21,Signature-Ideal,H,SI1,ID,ID,AGSL,7810
0.9,Fair,I,VVS2,VG,VG,GIA,3288
2.03,Very Good,G,VS2,EX,EX,GIA,27255
2.0,Good,I,VS2,VG,G,GIA,17243
2.28,Ideal,F,VS2,EX,VG,GIA,32509
2.07,Very Good,D,VS1,EX,EX,GIA,42225
1.51,Ideal,H,VS2,EX,EX,GIA,11329
0.9,Very Good,G,VVS2,VG,VG,GIA,5102
2.13,Ideal,E,VS1,VG,G,GIA,36349
1.19,Ideal,D,SI1,EX,EX,GIA,6857
1.01,Very Good,I,VS1,EX,VG,GIA,4848
1.07,Very Good,G,VS2,VG,VG,GIA,6627
1.0,Very Good,H,VVS2,VG,VG,GIA,6249
1.06,Very Good,E,SI1,VG,VG,GIA,5445
1.05,Ideal,G,IF,EX,EX,GIA,9514
1.31,Very Good,G,VVS1,VG,VG,GIA,11357
2.52,Ideal,H,VS2,EX,EX,GIA,29453
2.01,Good,H,VS2,VG,VG,GIA,19340
1.89,Ideal,I,SI1,EX,EX,GIA,14331
1.0,Ideal,I,SI1,ID,ID,AGSL,4780
1.11,Ideal,F,VS2,EX,VG,GIA,9144
2.58,Ideal,F,VS1,EX,EX,AGSL,37739
2.12,Ideal,F,VS2,ID,ID,AGSL,26078
1.0,Ideal,D,SI1,EX,VG,GIA,5489
1.02,Very Good,F,SI1,G,G,GIA,5430
2.05,Good,G,VS1,G,VG,GIA,26297
2.01,Very Good,E,VS2,EX,VG,GIA,27002
1.03,Ideal,D,SI1,EX,EX,GIA,6250
2.19,Ideal,E,VS1,EX,EX,GIA,30507
